,Awan3pm,Kelembaban3pm,Cluster
163,0.0,42.0,Tidak Bersalju
164,3.0,50.0,Tidak Bersalju
165,1.0,34.0,Tidak Bersalju
166,5.0,36.0,Tidak Bersalju
167,1.0,18.0,Tidak Bersalju
168,7.0,23.0,Tidak Bersalju
169,4.0,46.0,Tidak Bersalju
170,2.0,39.0,Tidak Bersalju
171,6.0,28.0,Tidak Bersalju
172,2.0,34.0,Tidak Bersalju
173,1.0,49.0,Tidak Bersalju
174,3.0,32.0,Tidak Bersalju
175,7.0,41.0,Tidak Bersalju
176,5.0,46.0,Tidak Bersalju
177,3.0,39.0,Tidak Bersalju
178,3.0,19.0,Tidak Bersalju
179,5.0,7.0,Tidak Bersalju
180,6.0,31.0,Tidak Bersalju
181,1.0,50.0,Tidak Bersalju
182,1.0,26.0,Tidak Bersalju
183,4.0,39.0,Tidak Bersalju
184,5.0,33.0,Tidak Bersalju
185,4.0,25.0,Tidak Bersalju
186,1.0,44.0,Tidak Bersalju
187,5.0,37.0,Tidak Bersalju
188,1.0,39.0,Tidak Bersalju
189,0.0,34.0,Tidak Bersalju
190,1.0,48.0,Tidak Bersalju
191,1.0,49.0,Tidak Bersalju
192,2.0,9.0,Tidak Bersalju
193,5.0,29.0,Tidak Bersalju
194,1.0,7.0,Tidak Bersalju
195,3.0,50.0,Tidak Bersalju
196,3.0,46.0,Tidak Bersalju
197,1.0,23.0,Tidak Bersalju
198,5.0,43.0,Tidak Bersalju
199,2.0,35.0,Tidak Bersalju
200,3.0,37.0,Tidak Bersalju
201,0.0,25.0,Tidak Bersalju
202,6.0,32.0,Tidak Bersalju
203,2.0,46.0,Tidak Bersalju
204,4.0,27.0,Tidak Bersalju
205,1.0,30.0,Tidak Bersalju
206,7.0,35.0,Tidak Bersalju
207,1.0,10.0,Tidak Bersalju
208,0.0,20.0,Tidak Bersalju
209,2.0,50.0,Tidak Bersalju
210,4.0,28.0,Tidak Bersalju
211,7.0,47.0,Tidak Bersalju
212,1.0,42.0,Tidak Bersalju
213,2.0,51.0,Tidak Bersalju
214,1.0,26.0,Tidak Bersalju
215,2.0,25.0,Tidak Bersalju
216,0.0,21.0,Tidak Bersalju
217,6.0,35.0,Tidak Bersalju
218,1.0,51.0,Tidak Bersalju
219,1.0,38.0,Tidak Bersalju
220,7.0,33.0,Tidak Bersalju
221,7.0,27.0,Tidak Bersalju
222,1.0,34.0,Tidak Bersalju
223,6.0,40.0,Tidak Bersalju
224,3.0,41.0,Tidak Bersalju
225,5.0,49.0,Tidak Bersalju
226,6.0,13.0,Tidak Bersalju
227,5.0,35.0,Tidak Bersalju
228,0.0,16.0,Tidak Bersalju
229,0.0,27.0,Tidak Bersalju
230,0.0,36.0,Tidak Bersalju
231,1.0,23.0,Tidak Bersalju
232,5.0,34.0,Tidak Bersalju
233,0.0,34.0,Tidak Bersalju
234,4.0,24.0,Tidak Bersalju
235,1.0,46.0,Tidak Bersalju
236,7.0,44.0,Tidak Bersalju
237,3.0,23.0,Tidak Bersalju
238,7.0,13.0,Tidak Bersalju
239,7.0,31.0,Tidak Bersalju
240,3.0,39.0,Tidak Bersalju
241,4.0,17.0,Tidak Bersalju
242,7.0,19.0,Tidak Bersalju
243,3.0,44.0,Tidak Bersalju
244,4.0,31.0,Tidak Bersalju
245,1.0,37.0,Tidak Bersalju
246,7.0,30.0,Tidak Bersalju
247,4.0,26.0,Tidak Bersalju
248,4.0,47.0,Tidak Bersalju
249,3.0,50.0,Tidak Bersalju
250,2.0,8.0,Tidak Bersalju
251,1.0,43.0,Tidak Bersalju
252,2.0,36.0,Tidak Bersalju
253,4.0,33.0,Tidak Bersalju
254,1.0,48.0,Tidak Bersalju
255,5.0,42.0,Tidak Bersalju
256,1.0,38.0,Tidak Bersalju
257,2.0,46.0,Tidak Bersalju
258,4.0,28.0,Tidak Bersalju
259,5.0,23.0,Tidak Bersalju
260,3.0,51.0,Tidak Bersalju
261,7.0,29.0,Tidak Bersalju
262,4.0,27.0,Tidak Bersalju
263,2.0,46.0,Tidak Bersalju
264,1.0,47.0,Tidak Bersalju
265,1.0,35.0,Tidak Bersalju
266,2.0,51.0,Tidak Bersalju
267,0.0,18.0,Tidak Bersalju
268,4.0,38.0,Tidak Bersalju
269,3.0,32.0,Tidak Bersalju
270,1.0,24.0,Tidak Bersalju
271,0.0,45.0,Tidak Bersalju
272,5.0,24.0,Tidak Bersalju
273,2.0,37.0,Tidak Bersalju
274,1.0,32.0,Tidak Bersalju
275,1.0,49.0,Tidak Bersalju
276,1.0,46.0,Tidak Bersalju
277,6.0,32.0,Tidak Bersalju
278,0.0,24.0,Tidak Bersalju
279,2.0,37.0,Tidak Bersalju
280,1.0,42.0,Tidak Bersalju
281,1.0,51.0,Tidak Bersalju
282,1.0,37.0,Tidak Bersalju
283,2.0,35.0,Tidak Bersalju
284,1.0,49.0,Tidak Bersalju
285,7.0,17.0,Tidak Bersalju
286,3.0,40.0,Tidak Bersalju
287,6.0,42.0,Tidak Bersalju
288,5.0,35.0,Tidak Bersalju
289,6.0,24.0,Tidak Bersalju
290,1.0,49.0,Tidak Bersalju
291,1.0,25.0,Tidak Bersalju
292,1.0,33.0,Tidak Bersalju
293,2.0,36.0,Tidak Bersalju
294,7.0,37.0,Tidak Bersalju
295,1.0,50.0,Tidak Bersalju
296,8.0,25.0,Tidak Bersalju
297,8.0,31.0,Tidak Bersalju
298,7.0,29.0,Tidak Bersalju
299,4.0,32.0,Tidak Bersalju
300,5.0,46.0,Tidak Bersalju
301,1.0,38.0,Tidak Bersalju
302,0.0,20.0,Tidak Bersalju
303,1.0,36.0,Tidak Bersalju
304,0.0,36.0,Tidak Bersalju
305,8.0,45.0,Tidak Bersalju
306,7.0,38.0,Tidak Bersalju
307,0.0,21.0,Tidak Bersalju
308,1.0,48.0,Tidak Bersalju
309,2.0,48.0,Tidak Bersalju
310,6.0,34.0,Tidak Bersalju
311,1.0,47.0,Tidak Bersalju
312,3.0,22.0,Tidak Bersalju
313,1.0,46.0,Tidak Bersalju
314,0.0,24.0,Tidak Bersalju
315,2.0,25.0,Tidak Bersalju
316,4.0,50.0,Tidak Bersalju
317,1.0,7.0,Tidak Bersalju
318,5.0,40.0,Tidak Bersalju
319,2.0,32.0,Tidak Bersalju
320,2.0,30.0,Tidak Bersalju
321,1.0,39.0,Tidak Bersalju
322,5.0,45.0,Tidak Bersalju
323,4.0,34.0,Tidak Bersalju
324,1.0,32.0,Tidak Bersalju
325,4.0,28.0,Tidak Bersalju
326,2.0,50.0,Tidak Bersalju
327,1.0,42.0,Tidak Bersalju
328,6.0,44.0,Tidak Bersalju
329,1.0,45.0,Tidak Bersalju
330,6.0,34.0,Tidak Bersalju
331,4.0,31.0,Tidak Bersalju
332,6.0,22.0,Tidak Bersalju
333,4.0,35.0,Tidak Bersalju
334,1.0,19.0,Tidak Bersalju
335,6.0,22.0,Tidak Bersalju
336,5.0,30.0,Tidak Bersalju
337,3.0,42.0,Tidak Bersalju
338,7.0,48.0,Tidak Bersalju
339,6.0,47.0,Tidak Bersalju
340,2.0,45.0,Tidak Bersalju
341,7.0,36.0,Tidak Bersalju
342,3.0,21.0,Tidak Bersalju
343,4.0,21.0,Tidak Bersalju
344,5.0,28.0,Tidak Bersalju
345,1.0,49.0,Tidak Bersalju
346,7.0,47.0,Tidak Bersalju
347,3.0,49.0,Tidak Bersalju
348,1.0,38.0,Tidak Bersalju
349,2.0,47.0,Tidak Bersalju
350,3.0,18.0,Tidak Bersalju
351,6.0,35.0,Tidak Bersalju
352,2.0,35.0,Tidak Bersalju
353,6.0,23.0,Tidak Bersalju
354,2.0,45.0,Tidak Bersalju
355,0.0,27.0,Tidak Bersalju
356,2.0,27.0,Tidak Bersalju
357,1.0,43.0,Tidak Bersalju
358,7.0,43.0,Tidak Bersalju
359,0.0,27.0,Tidak Bersalju
360,6.0,26.0,Tidak Bersalju
361,2.0,40.0,Tidak Bersalju
362,2.0,47.0,Tidak Bersalju
363,6.0,8.0,Tidak Bersalju
364,1.0,16.0,Tidak Bersalju
365,1.0,38.0,Tidak Bersalju
366,2.0,38.0,Tidak Bersalju
367,0.0,30.0,Tidak Bersalju
368,2.0,49.0,Tidak Bersalju
369,5.0,30.0,Tidak Bersalju
370,4.0,29.0,Tidak Bersalju
371,5.0,47.0,Tidak Bersalju
372,6.0,45.0,Tidak Bersalju
373,3.0,43.0,Tidak Bersalju
374,3.0,47.0,Tidak Bersalju
375,5.0,15.0,Tidak Bersalju
376,0.0,14.0,Tidak Bersalju
377,2.0,47.0,Tidak Bersalju
378,1.0,29.0,Tidak Bersalju
379,1.0,36.0,Tidak Bersalju
380,3.0,47.0,Tidak Bersalju
381,3.0,35.0,Tidak Bersalju
382,7.0,36.0,Tidak Bersalju
383,5.0,33.0,Tidak Bersalju
384,3.0,19.0,Tidak Bersalju
385,6.0,17.0,Tidak Bersalju
386,1.0,45.0,Tidak Bersalju
387,1.0,35.0,Tidak Bersalju
388,7.0,20.0,Tidak Bersalju
389,3.0,38.0,Tidak Bersalju
390,4.0,21.0,Tidak Bersalju
391,5.0,31.0,Tidak Bersalju
392,7.0,31.0,Tidak Bersalju
393,4.0,43.0,Tidak Bersalju
394,4.0,41.0,Tidak Bersalju
395,7.0,30.0,Tidak Bersalju
396,0.0,35.0,Tidak Bersalju
397,4.0,49.0,Tidak Bersalju
398,6.0,12.0,Tidak Bersalju
399,1.0,32.0,Tidak Bersalju
400,2.0,41.0,Tidak Bersalju
401,0.0,11.0,Tidak Bersalju
402,1.0,23.0,Tidak Bersalju
403,1.0,24.0,Tidak Bersalju
404,2.0,23.0,Tidak Bersalju
405,4.0,37.0,Tidak Bersalju
406,5.0,49.0,Tidak Bersalju
407,3.0,34.0,Tidak Bersalju
408,1.0,7.0,Tidak Bersalju
409,4.0,41.0,Tidak Bersalju
410,6.0,39.0,Tidak Bersalju
411,1.0,39.0,Tidak Bersalju
412,5.0,46.0,Tidak Bersalju
413,1.0,49.0,Tidak Bersalju
414,1.0,39.0,Tidak Bersalju
415,2.0,40.0,Tidak Bersalju
416,7.0,46.0,Tidak Bersalju
417,1.0,40.0,Tidak Bersalju
418,0.0,23.0,Tidak Bersalju
419,0.0,40.0,Tidak Bersalju
420,2.0,39.0,Tidak Bersalju
421,6.0,37.0,Tidak Bersalju
422,1.0,27.0,Tidak Bersalju
423,6.0,36.0,Tidak Bersalju
424,7.0,17.0,Tidak Bersalju
425,0.0,43.0,Tidak Bersalju
426,7.0,10.0,Tidak Bersalju
427,2.0,38.0,Tidak Bersalju
428,3.0,12.0,Tidak Bersalju
429,5.0,48.0,Tidak Bersalju
430,1.0,37.0,Tidak Bersalju
431,5.0,41.0,Tidak Bersalju
432,5.0,48.0,Tidak Bersalju
433,2.0,37.0,Tidak Bersalju
434,7.0,32.0,Tidak Bersalju
435,7.0,44.0,Tidak Bersalju
436,4.0,22.0,Tidak Bersalju
437,2.0,39.0,Tidak Bersalju
438,0.0,24.0,Tidak Bersalju
439,3.0,27.0,Tidak Bersalju
440,0.0,18.0,Tidak Bersalju
441,7.0,42.0,Tidak Bersalju
442,6.0,23.0,Tidak Bersalju
443,5.0,12.0,Tidak Bersalju
444,2.0,39.0,Tidak Bersalju
445,3.0,38.0,Tidak Bersalju
446,1.0,43.0,Tidak Bersalju
447,4.0,44.0,Tidak Bersalju
448,3.0,29.0,Tidak Bersalju
449,5.0,48.0,Tidak Bersalju
450,3.0,13.0,Tidak Bersalju
451,4.0,35.0,Tidak Bersalju
452,5.0,22.0,Tidak Bersalju
453,0.0,24.0,Tidak Bersalju
454,2.0,23.0,Tidak Bersalju
455,0.0,42.0,Tidak Bersalju
456,3.0,49.0,Tidak Bersalju
457,2.0,50.0,Tidak Bersalju
458,8.0,35.0,Tidak Bersalju
459,1.0,42.0,Tidak Bersalju
460,6.0,16.0,Tidak Bersalju
461,3.0,48.0,Tidak Bersalju
462,7.0,46.0,Tidak Bersalju
463,1.0,30.0,Tidak Bersalju
464,1.0,50.0,Tidak Bersalju
465,5.0,25.0,Tidak Bersalju
466,0.0,36.0,Tidak Bersalju
467,0.0,31.0,Tidak Bersalju
468,1.0,21.0,Tidak Bersalju
469,1.0,30.0,Tidak Bersalju
470,1.0,51.0,Tidak Bersalju
471,0.0,35.0,Tidak Bersalju
472,1.0,32.0,Tidak Bersalju
473,7.0,40.0,Tidak Bersalju
474,0.0,40.0,Tidak Bersalju
475,1.0,34.0,Tidak Bersalju
476,2.0,47.0,Tidak Bersalju
477,7.0,21.0,Tidak Bersalju
478,4.0,25.0,Tidak Bersalju
479,3.0,47.0,Tidak Bersalju
480,2.0,20.0,Tidak Bersalju
481,2.0,44.0,Tidak Bersalju
482,0.0,28.0,Tidak Bersalju
483,1.0,22.0,Tidak Bersalju
484,6.0,36.0,Tidak Bersalju
485,6.0,28.0,Tidak Bersalju
486,2.0,20.0,Tidak Bersalju
487,2.0,45.0,Tidak Bersalju
488,2.0,41.0,Tidak Bersalju
489,1.0,30.0,Tidak Bersalju
490,1.0,28.0,Tidak Bersalju
491,1.0,27.0,Tidak Bersalju
492,1.0,38.0,Tidak Bersalju
493,1.0,12.0,Tidak Bersalju
494,0.0,38.0,Tidak Bersalju
495,2.0,30.0,Tidak Bersalju
496,0.0,7.0,Tidak Bersalju
497,2.0,36.0,Tidak Bersalju
498,6.0,34.0,Tidak Bersalju
499,1.0,49.0,Tidak Bersalju
500,0.0,32.0,Tidak Bersalju
501,2.0,30.0,Tidak Bersalju
502,3.0,47.0,Tidak Bersalju
503,6.0,24.0,Tidak Bersalju
504,7.0,48.0,Tidak Bersalju
505,1.0,40.0,Tidak Bersalju
506,5.0,48.0,Tidak Bersalju
507,3.0,45.0,Tidak Bersalju
508,1.0,11.0,Tidak Bersalju
509,2.0,15.0,Tidak Bersalju
510,2.0,30.0,Tidak Bersalju
511,1.0,23.0,Tidak Bersalju
512,7.0,31.0,Tidak Bersalju
513,7.0,35.0,Tidak Bersalju
514,3.0,33.0,Tidak Bersalju
515,4.0,40.0,Tidak Bersalju
516,5.0,43.0,Tidak Bersalju
517,6.0,14.0,Tidak Bersalju
518,1.0,26.0,Tidak Bersalju
519,2.0,29.0,Tidak Bersalju
520,7.0,29.0,Tidak Bersalju
521,5.0,38.0,Tidak Bersalju
522,3.0,50.0,Tidak Bersalju
523,1.0,16.0,Tidak Bersalju
524,1.0,43.0,Tidak Bersalju
525,5.0,32.0,Tidak Bersalju
526,3.0,28.0,Tidak Bersalju
527,7.0,36.0,Tidak Bersalju
528,7.0,45.0,Tidak Bersalju
529,1.0,39.0,Tidak Bersalju
530,7.0,45.0,Tidak Bersalju
531,2.0,51.0,Tidak Bersalju
532,3.0,45.0,Tidak Bersalju
533,1.0,42.0,Tidak Bersalju
534,1.0,37.0,Tidak Bersalju
535,2.0,22.0,Tidak Bersalju
536,1.0,29.0,Tidak Bersalju
537,5.0,29.0,Tidak Bersalju
538,4.0,31.0,Tidak Bersalju
539,1.0,40.0,Tidak Bersalju
540,2.0,40.0,Tidak Bersalju
541,1.0,46.0,Tidak Bersalju
542,0.0,39.0,Tidak Bersalju
543,1.0,44.0,Tidak Bersalju
544,0.0,36.0,Tidak Bersalju
545,3.0,36.0,Tidak Bersalju
546,2.0,36.0,Tidak Bersalju
547,2.0,48.0,Tidak Bersalju
548,2.0,28.0,Tidak Bersalju
549,5.0,40.0,Tidak Bersalju
550,7.0,45.0,Tidak Bersalju
551,7.0,30.0,Tidak Bersalju
552,4.0,42.0,Tidak Bersalju
553,1.0,50.0,Tidak Bersalju
554,1.0,30.0,Tidak Bersalju
555,5.0,49.0,Tidak Bersalju
556,1.0,43.0,Tidak Bersalju
557,3.0,42.0,Tidak Bersalju
558,0.0,25.0,Tidak Bersalju
559,8.0,42.0,Tidak Bersalju
560,6.0,18.0,Tidak Bersalju
561,7.0,39.0,Tidak Bersalju
562,4.0,45.0,Tidak Bersalju
563,7.0,46.0,Tidak Bersalju
564,0.0,48.0,Tidak Bersalju
565,0.0,34.0,Tidak Bersalju
566,3.0,7.0,Tidak Bersalju
567,5.0,38.0,Tidak Bersalju
568,7.0,29.0,Tidak Bersalju
569,5.0,44.0,Tidak Bersalju
570,2.0,39.0,Tidak Bersalju
571,3.0,27.0,Tidak Bersalju
572,7.0,35.0,Tidak Bersalju
573,1.0,44.0,Tidak Bersalju
574,3.0,44.0,Tidak Bersalju
575,4.0,40.0,Tidak Bersalju
576,1.0,38.0,Tidak Bersalju
577,0.0,24.0,Tidak Bersalju
578,1.0,35.0,Tidak Bersalju
579,2.0,42.0,Tidak Bersalju
580,4.0,25.0,Tidak Bersalju
581,1.0,34.0,Tidak Bersalju
582,4.0,30.0,Tidak Bersalju
583,0.0,13.0,Tidak Bersalju
584,0.0,17.0,Tidak Bersalju
585,5.0,17.0,Tidak Bersalju
586,4.0,49.0,Tidak Bersalju
587,1.0,39.0,Tidak Bersalju
588,6.0,30.0,Tidak Bersalju
589,1.0,50.0,Tidak Bersalju
590,2.0,41.0,Tidak Bersalju
591,1.0,47.0,Tidak Bersalju
592,3.0,19.0,Tidak Bersalju
593,3.0,23.0,Tidak Bersalju
594,4.0,38.0,Tidak Bersalju
595,1.0,35.0,Tidak Bersalju
596,5.0,24.0,Tidak Bersalju
597,2.0,34.0,Tidak Bersalju
598,0.0,33.0,Tidak Bersalju
599,3.0,42.0,Tidak Bersalju
600,0.0,48.0,Tidak Bersalju
601,7.0,29.0,Tidak Bersalju
602,5.0,19.0,Tidak Bersalju
603,1.0,29.0,Tidak Bersalju
604,3.0,35.0,Tidak Bersalju
605,6.0,45.0,Tidak Bersalju
606,3.0,37.0,Tidak Bersalju
607,1.0,29.0,Tidak Bersalju
608,1.0,38.0,Tidak Bersalju
609,1.0,11.0,Tidak Bersalju
610,7.0,29.0,Tidak Bersalju
611,1.0,50.0,Tidak Bersalju
612,0.0,31.0,Tidak Bersalju
613,1.0,28.0,Tidak Bersalju
614,1.0,17.0,Tidak Bersalju
615,1.0,40.0,Tidak Bersalju
616,1.0,50.0,Tidak Bersalju
617,0.0,39.0,Tidak Bersalju
618,1.0,36.0,Tidak Bersalju
619,7.0,45.0,Tidak Bersalju
620,6.0,47.0,Tidak Bersalju
621,3.0,45.0,Tidak Bersalju
622,1.0,49.0,Tidak Bersalju
623,1.0,9.0,Tidak Bersalju
624,0.0,21.0,Tidak Bersalju
625,1.0,32.0,Tidak Bersalju
626,4.0,46.0,Tidak Bersalju
627,1.0,34.0,Tidak Bersalju
628,2.0,48.0,Tidak Bersalju
629,1.0,44.0,Tidak Bersalju
630,1.0,39.0,Tidak Bersalju
631,2.0,21.0,Tidak Bersalju
632,1.0,42.0,Tidak Bersalju
633,3.0,40.0,Tidak Bersalju
634,1.0,20.0,Tidak Bersalju
635,3.0,50.0,Tidak Bersalju
636,7.0,44.0,Tidak Bersalju
637,5.0,29.0,Tidak Bersalju
638,1.0,33.0,Tidak Bersalju
639,1.0,38.0,Tidak Bersalju
640,1.0,10.0,Tidak Bersalju
641,6.0,33.0,Tidak Bersalju
642,3.0,18.0,Tidak Bersalju
643,6.0,31.0,Tidak Bersalju
644,7.0,45.0,Tidak Bersalju
645,7.0,21.0,Tidak Bersalju
646,0.0,32.0,Tidak Bersalju
647,5.0,27.0,Tidak Bersalju
648,7.0,48.0,Tidak Bersalju
649,7.0,43.0,Tidak Bersalju
650,3.0,42.0,Tidak Bersalju
651,3.0,11.0,Tidak Bersalju
652,1.0,51.0,Tidak Bersalju
653,7.0,44.0,Tidak Bersalju
654,2.0,35.0,Tidak Bersalju
655,3.0,46.0,Tidak Bersalju
656,0.0,25.0,Tidak Bersalju
657,1.0,24.0,Tidak Bersalju
658,4.0,20.0,Tidak Bersalju
659,1.0,30.0,Tidak Bersalju
660,1.0,27.0,Tidak Bersalju
661,2.0,41.0,Tidak Bersalju
662,7.0,29.0,Tidak Bersalju
663,3.0,45.0,Tidak Bersalju
664,3.0,32.0,Tidak Bersalju
665,1.0,29.0,Tidak Bersalju
666,2.0,28.0,Tidak Bersalju
667,1.0,51.0,Tidak Bersalju
668,7.0,46.0,Tidak Bersalju
669,2.0,42.0,Tidak Bersalju
670,1.0,32.0,Tidak Bersalju
671,2.0,21.0,Tidak Bersalju
672,6.0,38.0,Tidak Bersalju
673,6.0,22.0,Tidak Bersalju
674,6.0,22.0,Tidak Bersalju
675,5.0,24.0,Tidak Bersalju
676,2.0,45.0,Tidak Bersalju
677,3.0,35.0,Tidak Bersalju
678,5.0,28.0,Tidak Bersalju
679,3.0,45.0,Tidak Bersalju
680,0.0,36.0,Tidak Bersalju
681,1.0,28.0,Tidak Bersalju
682,5.0,24.0,Tidak Bersalju
683,2.0,44.0,Tidak Bersalju
684,7.0,21.0,Tidak Bersalju
685,0.0,31.0,Tidak Bersalju
686,6.0,12.0,Tidak Bersalju
687,6.0,39.0,Tidak Bersalju
688,7.0,33.0,Tidak Bersalju
689,7.0,26.0,Tidak Bersalju
690,7.0,31.0,Tidak Bersalju
691,1.0,51.0,Tidak Bersalju
692,2.0,32.0,Tidak Bersalju
693,7.0,42.0,Tidak Bersalju
694,4.0,48.0,Tidak Bersalju
695,7.0,22.0,Tidak Bersalju
696,1.0,40.0,Tidak Bersalju
